,busloans_monthly
1947-01-31,11.2894
1947-02-28,11.5179
1947-03-31,11.7667
1947-04-30,12.0269
1947-05-31,12.2788
1947-06-30,12.4832
1947-07-31,12.78
1947-08-31,13.0822
1947-09-30,13.3523
1947-10-31,13.6287
1947-11-30,13.8998
1947-12-31,14.2053
1948-01-31,14.4049
1948-02-29,14.5635
1948-03-31,14.7454
1948-04-30,14.9301
1948-05-31,15.0976
1948-06-30,15.2158
1948-07-31,15.2705
1948-08-31,15.212
1948-09-30,15.1478
1948-10-31,15.0945
1948-11-30,15.0462
1948-12-31,15.0348
1949-01-31,14.9254
1949-02-28,14.7874
1949-03-31,14.6621
1949-04-30,14.5149
1949-05-31,14.3455
1949-06-30,14.1386
1949-07-31,14.0212
1949-08-31,13.923
1949-09-30,13.8246
1949-10-31,13.7376
1949-11-30,13.6548
1949-12-31,13.5957
1950-01-31,13.6493
1950-02-28,13.7957
1950-03-31,13.9531
1950-04-30,14.1119
1950-05-31,14.2519
1950-06-30,14.388
1950-07-31,14.7712
1950-08-31,15.2975
1950-09-30,15.8075
1950-10-31,16.3104
1950-11-30,16.8092
1950-12-31,17.3061
1951-01-31,17.7542
1951-02-28,18.1862
1951-03-31,18.6363
1951-04-30,19.1031
1951-05-31,19.5512
1951-06-30,20.0031
1951-07-31,20.2509
1951-08-31,20.3672
1951-09-30,20.4775
1951-10-31,20.6053
1951-11-30,20.7329
1951-12-31,20.9657
1952-01-31,22.1319
1952-02-29,22.4316
1952-03-31,22.3763
1952-04-30,22.138
1952-05-31,21.9293
1952-06-30,22.0525
1952-07-31,22.1461
1952-08-31,22.3937
1952-09-30,22.6967
1952-10-31,23.0685
1952-11-30,23.4435
1952-12-31,23.23
1953-01-31,23.4687
1953-02-28,23.6226
1953-03-31,23.6983
1953-04-30,23.8228
1953-05-31,23.8827
1953-06-30,23.7607
1953-07-31,23.7782
1953-08-31,23.9951
1953-09-30,24.0138
1953-10-31,23.9825
1953-11-30,23.87
1953-12-31,23.1686
1954-01-31,23.0112
1954-02-28,22.952
1954-03-31,22.927
1954-04-30,22.7987
1954-05-31,22.6694
1954-06-30,22.5139
1954-07-31,22.439
1954-08-31,22.4422
1954-09-30,22.4805
1954-10-31,22.5787
1954-11-30,22.6956
1954-12-31,22.5382
1955-01-31,22.8036
1955-02-28,22.9901
1955-03-31,23.1876
1955-04-30,23.3723
1955-05-31,23.7085
1955-06-30,24.1102
1955-07-31,24.5263
1955-08-31,24.963
1955-09-30,25.3672
1955-10-31,25.7546
1955-11-30,26.4404
1955-12-31,26.7161
1956-01-31,27.1736
1956-02-29,27.6564
1956-03-31,28.5289
1956-04-30,29.285
1956-05-31,29.6299
1956-06-30,30.263
1956-07-31,30.7252
1956-08-31,31.0855
1956-09-30,31.4451
1956-10-31,31.8895
1956-11-30,32.2609
1956-12-31,32.473
1957-01-31,32.687
1957-02-28,32.6895
1957-03-31,33.0407
1957-04-30,33.3856
1957-05-31,33.6362
1957-06-30,34.0596
1957-07-31,34.3749
1957-08-31,34.5961
1957-09-30,34.5474
1957-10-31,34.4197
1957-11-30,34.3325
1957-12-31,33.8853
1958-01-31,34.6988
1958-02-28,34.8623
1958-03-31,34.7528
1958-04-30,34.5718
1958-05-31,34.4375
1958-06-30,34.2718
1958-07-31,34.1831
1958-08-31,34.3612
1958-09-30,34.5237
1958-10-31,34.7518
1958-11-30,34.9156
1958-12-31,34.9489
1959-01-31,35.213
1959-02-28,35.2201
1959-03-31,35.1304
1959-04-30,35.5581
1959-05-31,36.3064
1959-06-30,37.1404
1959-07-31,37.6645
1959-08-31,38.089
1959-09-30,38.2605
1959-10-31,38.4113
1959-11-30,38.6978
1959-12-31,39.2932
1960-01-31,39.6291
1960-02-29,39.7872
1960-03-31,40.018
1960-04-30,40.5152
1960-05-31,40.8926
1960-06-30,41.3564
1960-07-31,41.3958
1960-08-31,41.3249
1960-09-30,41.4006
1960-10-31,41.5247
1960-11-30,41.6827
1960-12-31,42.1051
1961-01-31,42.0358
1961-02-28,41.9503
1961-03-31,42.0518
1961-04-30,42.2127
1961-05-31,42.1342
1961-06-30,42.4519
1961-07-31,42.5813
1961-08-31,42.6567
1961-09-30,42.7707
1961-10-31,42.9778
1961-11-30,43.1337
1961-12-31,43.7997
1962-01-31,43.9853
1962-02-28,43.8688
1962-03-31,44.1012
1962-04-30,44.5398
1962-05-31,44.8413
1962-06-30,45.5419
1962-07-31,45.7268
1962-08-31,45.9234
1962-09-30,46.3736
1962-10-31,46.8487
1962-11-30,47.1998
1962-12-31,47.4376
1963-01-31,47.6623
1963-02-28,47.8294
1963-03-31,47.9739
1963-04-30,48.3917
1963-05-31,48.649
1963-06-30,49.2469
1963-07-31,49.4664
1963-08-31,49.4768
1963-09-30,49.8225
1963-10-31,50.4111
1963-11-30,51.2382
1963-12-31,52.1741
1964-01-31,52.4186
1964-02-29,52.5482
1964-03-31,52.7139
1964-04-30,53.229
1964-05-31,53.7445
1964-06-30,54.2937
1964-07-31,54.7159
1964-08-31,55.1046
1964-09-30,55.7749
1964-10-31,56.2908
1964-11-30,56.8628
1964-12-31,58.3481
1965-01-31,59.241
1965-02-28,60.0693
1965-03-31,61.1489
1965-04-30,62.1331
1965-05-31,62.925
1965-06-30,64.1511
1965-07-31,64.8904
1965-08-31,65.4792
1965-09-30,66.3883
1965-10-31,67.05
1965-11-30,67.754
1965-12-31,69.1577
1966-01-31,69.9831
1966-02-28,70.683
1966-03-31,71.521
1966-04-30,72.3728
1966-05-31,73.3273
1966-06-30,75.3919
1966-07-31,76.7826
1966-08-31,76.9939
1966-09-30,77.4883
1966-10-31,78.0104
1966-11-30,78.3726
1966-12-31,78.976
1967-01-31,79.274
1967-02-28,79.558
1967-03-31,80.1231
1967-04-30,81.185
1967-05-31,81.6022
1967-06-30,82.6929
1967-07-31,83.7351
1967-08-31,83.5123
1967-09-30,83.7365
1967-10-31,84.1043
1967-11-30,84.5959
1967-12-31,86.1397
1968-01-31,86.5509
1968-02-29,86.5981
1968-03-31,87.114
1968-04-30,88.421
1968-05-31,88.9726
1968-06-30,89.9295
1968-07-31,91.0358
1968-08-31,91.2381
1968-09-30,91.8452
1968-10-31,92.8125
1968-11-30,94.47
1968-12-31,96.2065
1969-01-31,97.1481
1969-02-28,98.2963
1969-03-31,99.2383
1969-04-30,100.7715
1969-05-31,101.9454
1969-06-30,102.5404
1969-07-31,103.0557
1969-08-31,103.3067
1969-09-30,103.8176
1969-10-31,104.3372
1969-11-30,105.1854
1969-12-31,106.5979
1970-01-31,106.2979
1970-02-28,105.6953
1970-03-31,105.4128
1970-04-30,105.6766
1970-05-31,106.0118
1970-06-30,106.8358
1970-07-31,107.677
1970-08-31,108.5407
1970-09-30,109.5289
1970-10-31,109.774
1970-11-30,110.1744
1970-12-31,111.3578
1971-01-31,111.5479
1971-02-28,111.8951
1971-03-31,111.9877
1971-04-30,112.1496
1971-05-31,113.0615
1971-06-30,114.1265
1971-07-31,114.3772
1971-08-31,115.6802
1971-09-30,116.6745
1971-10-31,117.268
1971-11-30,117.8104
1971-12-31,117.7961
1972-01-31,118.1645
1972-02-29,118.8982
1972-03-31,119.691
1972-04-30,121.2319
1972-05-31,122.692
1972-06-30,123.7672
1972-07-31,124.6817
1972-08-31,126.0083
1972-09-30,126.9574
1972-10-31,129.0908
1972-11-30,131.5901
1972-12-31,133.1093
1973-01-31,135.4135
1973-02-28,140.7983
1973-03-31,144.9576
1973-04-30,147.5343
1973-05-31,149.9659
1973-06-30,152.8292
1973-07-31,155.3291
1973-08-31,158.0681
1973-09-30,158.5066
1973-10-31,159.1694
1973-11-30,159.9353
1973-12-31,161.2113
1974-01-31,163.0226
1974-02-28,164.772
1974-03-31,168.8168
1974-04-30,174.9909
1974-05-31,177.6309
1974-06-30,180.1082
1974-07-31,183.9873
1974-08-31,186.3819
1974-09-30,187.9941
1974-10-31,189.2302
1974-11-30,190.4047
1974-12-31,191.2761
1975-01-31,191.5869
1975-02-28,190.3805
1975-03-31,188.1191
1975-04-30,187.4109
1975-05-31,186.074
1975-06-30,184.638
1975-07-31,183.651
1975-08-31,182.9282
1975-09-30,182.822
1975-10-31,182.7142
1975-11-30,182.6189
1975-12-31,183.3586
1976-01-31,182.6481
1976-02-29,182.0444
1976-03-31,179.4877
