,continued_claims_monthly
1967-01-31,1118750.0
1967-02-28,1162500.0
1967-03-31,1243250.0
1967-04-30,1281000.0
1967-05-31,1277500.0
1967-06-30,1246000.0
1967-07-31,1246200.0
1967-08-31,1209250.0
1967-09-30,1181400.0
1967-10-31,1172250.0
1967-11-30,1148250.0
1967-12-31,1170600.0
1968-01-31,1173250.0
1968-02-29,1164000.0
1968-03-31,1139200.0
1968-04-30,1076000.0
1968-05-31,1078500.0
1968-06-30,1065800.0
1968-07-31,1060500.0
1968-08-31,1085000.0
1968-09-30,1051500.0
1968-10-31,1043250.0
1968-11-30,1042200.0
1968-12-31,1075750.0
1969-01-31,1091500.0
1969-02-28,1098500.0
1969-03-31,1077800.0
1969-04-30,1035750.0
1969-05-31,1004400.0
1969-06-30,1008750.0
1969-07-31,1086500.0
1969-08-31,1084000.0
1969-09-30,1090500.0
1969-10-31,1114250.0
1969-11-30,1167800.0
1969-12-31,1253750.0
1970-01-31,1365800.0
1970-02-28,1421000.0
1970-03-31,1483500.0
1970-04-30,1640000.0
1970-05-31,1826400.0
1970-06-30,1849750.0
1970-07-31,1879000.0
1970-08-31,1939600.0
1970-09-30,2056250.0
1970-10-31,2214200.0
1970-11-30,2299750.0
1970-12-31,2210000.0
1971-01-31,2100600.0
1971-02-28,2100000.0
1971-03-31,2138750.0
1971-04-30,2145250.0
1971-05-31,2170600.0
1971-06-30,2186750.0
1971-07-31,2122400.0
1971-08-31,2187500.0
1971-09-30,2239250.0
1971-10-31,2204600.0
1971-11-30,2145750.0
1971-12-31,2087000.0
1972-01-31,1923200.0
1972-02-29,1926500.0
1972-03-31,1898750.0
1972-04-30,1887800.0
1972-05-31,1875250.0
1972-06-30,1863250.0
1972-07-31,1949800.0
1972-08-31,1813250.0
1972-09-30,1798600.0
1972-10-31,1753500.0
1972-11-30,1732000.0
1972-12-31,1694600.0
1973-01-31,1621250.0
1973-02-28,1588500.0
1973-03-31,1570000.0
1973-04-30,1553750.0
1973-05-31,1559250.0
1973-06-30,1567200.0
1973-07-31,1601750.0
1973-08-31,1664750.0
1973-09-30,1670200.0
1973-10-31,1664250.0
1973-11-30,1706000.0
1973-12-31,1765800.0
1974-01-31,1957000.0
1974-02-28,2012250.0
1974-03-31,2055600.0
1974-04-30,2066000.0
1974-05-31,2051750.0
1974-06-30,2076200.0
1974-07-31,2122750.0
1974-08-31,2173800.0
1974-09-30,2279500.0
1974-10-31,2448750.0
1974-11-30,2803600.0
1974-12-31,3291250.0
1975-01-31,3619250.0
1975-02-28,3856500.0
1975-03-31,4175200.0
1975-04-30,4473500.0
1975-05-31,4578200.0
1975-06-30,4377250.0
1975-07-31,4144750.0
1975-08-31,3954200.0
1975-09-30,3895000.0
1975-10-31,3731250.0
1975-11-30,3494400.0
1975-12-31,3198250.0
1976-01-31,3035200.0
1976-02-29,2865750.0
1976-03-31,2843000.0
1976-04-30,2872250.0
1976-05-31,2941000.0
1976-06-30,2989500.0
1976-07-31,2995800.0
1976-08-31,3015250.0
1976-09-30,3070000.0
1976-10-31,3093000.0
1976-11-30,3055750.0
1976-12-31,2923500.0
1977-01-31,2827200.0
1977-02-28,2849000.0
1977-03-31,2702750.0
1977-04-30,2671200.0
1977-05-31,2631250.0
1977-06-30,2619250.0
1977-07-31,2583000.0
1977-08-31,2610500.0
1977-09-30,2589500.0
