,cumfns_monthly
1948-01-31,84.4294
1948-02-29,83.9649
1948-03-31,83.3786
1948-04-30,82.7982
1948-05-31,83.3016
1948-06-30,83.6466
1948-07-31,83.3785
1948-08-31,82.658
1948-09-30,81.4921
1948-10-31,81.689
1948-11-30,80.2405
1948-12-31,79.3106
1949-01-31,77.9438
1949-02-28,76.8835
1949-03-31,75.8871
1949-04-30,74.1646
1949-05-31,73.1841
1949-06-30,73.0837
1949-07-31,73.129
1949-08-31,73.6079
1949-09-30,74.8043
1949-10-31,71.6831
1949-11-30,72.0188
1949-12-31,73.6252
1950-01-31,74.9361
1950-02-28,75.3878
1950-03-31,76.3894
1950-04-30,79.2129
1950-05-31,81.0351
1950-06-30,83.1238
1950-07-31,85.4762
1950-08-31,88.367
1950-09-30,87.2287
1950-10-31,87.4758
1950-11-30,87.0349
1950-12-31,88.0952
1951-01-31,88.3302
1951-02-28,88.2919
1951-03-31,88.3826
1951-04-30,88.2029
1951-05-31,87.3526
1951-06-30,86.6421
1951-07-31,84.8692
1951-08-31,83.6406
1951-09-30,83.7458
1951-10-31,83.0578
1951-11-30,83.559
1951-12-31,83.9073
1952-01-31,84.3838
1952-02-29,84.5965
1952-03-31,84.6599
1952-04-30,83.5604
1952-05-31,83.1126
1952-06-30,81.8992
1952-07-31,79.8012
1952-08-31,85.0966
1952-09-30,87.6912
1952-10-31,88.7512
1952-11-30,90.1807
1952-12-31,90.4905
1953-01-31,90.5483
1953-02-28,91.1036
1953-03-31,91.4256
1953-04-30,91.4983
1953-05-31,91.6937
1953-06-30,90.6594
1953-07-31,90.9787
1953-08-31,90.5636
1953-09-30,88.3263
1953-10-31,87.1948
1953-11-30,84.7407
1953-12-31,82.3076
1954-01-31,81.3314
1954-02-28,80.8402
1954-03-31,80.2379
1954-04-30,79.4012
1954-05-31,79.7563
1954-06-30,79.8726
1954-07-31,79.3984
1954-08-31,78.8093
1954-09-30,79.1621
1954-10-31,79.7465
1954-11-30,80.9104
1954-12-31,81.7984
1955-01-31,83.491
1955-02-28,84.1335
1955-03-31,85.769
1955-04-30,86.7049
1955-05-31,87.8619
1955-06-30,87.6462
1955-07-31,87.6585
1955-08-31,87.3323
1955-09-30,87.4582
1955-10-31,88.3671
1955-11-30,88.2651
1955-12-31,89.0259
1956-01-31,88.2309
1956-02-29,87.4422
1956-03-31,86.9629
1956-04-30,87.7998
1956-05-31,86.3431
1956-06-30,85.3322
1956-07-31,81.5224
1956-08-31,84.9487
1956-09-30,85.9908
1956-10-31,86.491
1956-11-30,85.8189
1956-12-31,86.7793
1957-01-31,86.151
1957-02-28,86.9983
1957-03-31,86.4136
1957-04-30,84.9971
1957-05-31,84.2139
1957-06-30,84.5773
1957-07-31,84.3174
1957-08-31,84.1625
1957-09-30,83.1858
1957-10-31,81.3949
1957-11-30,79.4105
1957-12-31,77.5488
1958-01-31,75.6978
1958-02-28,73.7563
1958-03-31,72.7431
1958-04-30,71.3327
1958-05-31,71.9395
1958-06-30,73.9457
1958-07-31,74.3421
1958-08-31,75.7329
1958-09-30,76.2217
1958-10-31,76.4104
1958-11-30,79.0691
1958-12-31,79.0434
1959-01-31,80.1973
1959-02-28,81.4428
1959-03-31,82.4769
1959-04-30,83.9922
1959-05-31,84.9159
1959-06-30,84.7686
1959-07-31,82.9798
1959-08-31,79.4676
1959-09-30,79.0489
1959-10-31,78.1537
1959-11-30,78.5051
1959-12-31,83.5682
1960-01-31,85.5616
1960-02-29,84.6108
1960-03-31,83.2421
1960-04-30,82.2593
1960-05-31,81.4711
1960-06-30,80.2236
1960-07-31,79.7275
1960-08-31,79.0505
1960-09-30,77.9187
1960-10-31,77.5287
1960-11-30,75.7724
1960-12-31,74.2557
1961-01-31,74.1095
1961-02-28,73.512
1961-03-31,73.8637
1961-04-30,75.3829
1961-05-31,76.356
1961-06-30,77.3241
1961-07-31,78.1087
1961-08-31,78.9783
1961-09-30,78.1562
1961-10-31,79.5528
1961-11-30,80.7658
1961-12-31,81.6041
1962-01-31,80.2408
1962-02-28,81.4267
1962-03-31,81.8912
1962-04-30,81.7429
1962-05-31,81.3349
1962-06-30,80.9291
1962-07-31,81.476
1962-08-31,81.4168
1962-09-30,81.7875
1962-10-31,81.3851
1962-11-30,81.8392
1962-12-31,81.6791
1963-01-31,81.9446
1963-02-28,82.3778
1963-03-31,82.6243
1963-04-30,83.4581
1963-05-31,83.9513
1963-06-30,83.9398
1963-07-31,83.3448
1963-08-31,83.5014
1963-09-30,83.8227
1963-10-31,84.3071
1963-11-30,84.2946
1963-12-31,84.0095
1964-01-31,84.4621
1964-02-29,84.6673
1964-03-31,84.3575
1964-04-30,85.5869
1964-05-31,85.5983
1964-06-30,85.449
1964-07-31,85.861
1964-08-31,86.1105
1964-09-30,86.1994
1964-10-31,84.6252
1964-11-30,86.8484
1964-12-31,88.0025
1965-01-31,88.5986
1965-02-28,88.7226
1965-03-31,89.2769
1965-04-30,89.2868
1965-05-31,89.4494
1965-06-30,89.4582
1965-07-31,90.2974
1965-08-31,89.8508
1965-09-30,89.5586
1965-10-31,89.7893
1965-11-30,89.6483
1965-12-31,90.5141
1966-01-31,90.8594
1966-02-28,90.9108
1966-03-31,91.5884
1966-04-30,91.5416
1966-05-31,91.6379
1966-06-30,91.5205
1966-07-31,91.4046
1966-08-31,91.0801
1966-09-30,91.2464
1966-10-31,91.618
1966-11-30,90.1293
1966-12-31,90.0246
1967-01-31,89.8425
1967-02-28,88.3949
1967-03-31,87.5162
1967-04-30,87.6555
1967-05-31,86.6106
1967-06-30,86.0691
1967-07-31,85.3074
1967-08-31,86.4918
1967-09-30,86.0644
1967-10-31,86.3701
1967-11-30,87.5349
1967-12-31,88.0043
1968-01-31,87.4099
1968-02-29,87.4092
1968-03-31,87.1648
1968-04-30,86.8701
1968-05-31,87.586
1968-06-30,87.3914
1968-07-31,86.7508
1968-08-31,86.8043
1968-09-30,86.4809
1968-10-31,86.6552
1968-11-30,87.5147
1968-12-31,87.1537
1969-01-31,87.3262
1969-02-28,87.6949
1969-03-31,88.0269
1969-04-30,87.3257
1969-05-31,86.6446
1969-06-30,86.842
1969-07-31,87.144
