,initial_claims_monthly
1967-01-31,209000.0
1967-02-28,229000.0
1967-03-31,260750.0
1967-04-30,263000.0
1967-05-31,235750.0
1967-06-30,232000.0
1967-07-31,227800.0
1967-08-31,212750.0
1967-09-30,216400.0
1967-10-31,216750.0
1967-11-30,206250.0
1967-12-31,211200.0
1968-01-31,215750.0
1968-02-29,210750.0
1968-03-31,195200.0
1968-04-30,199000.0
1968-05-31,199000.0
1968-06-30,193600.0
1968-07-31,196250.0
1968-08-31,199400.0
1968-09-30,191000.0
1968-10-31,186000.0
1968-11-30,183400.0
1968-12-31,199500.0
1969-01-31,191500.0
1969-02-28,196000.0
1969-03-31,189000.0
1969-04-30,184000.0
1969-05-31,181200.0
1969-06-30,192000.0
1969-07-31,208750.0
1969-08-31,198400.0
1969-09-30,194750.0
1969-10-31,199250.0
1969-11-30,205000.0
1969-12-31,219750.0
1970-01-31,247000.0
1970-02-28,258500.0
1970-03-31,268250.0
1970-04-30,325250.0
1970-05-31,310400.0
1970-06-30,296500.0
1970-07-31,286500.0
1970-08-31,285400.0
1970-09-30,318500.0
1970-10-31,333600.0
1970-11-30,325250.0
1970-12-31,306000.0
1971-01-31,298800.0
1971-02-28,284000.0
1971-03-31,293750.0
1971-04-30,287500.0
1971-05-31,292200.0
1971-06-30,296500.0
1971-07-31,293200.0
1971-08-31,325250.0
1971-09-30,320250.0
1971-10-31,297600.0
1971-11-30,287000.0
1971-12-31,273000.0
1972-01-31,271200.0
1972-02-29,263500.0
1972-03-31,262750.0
1972-04-30,263000.0
1972-05-31,267750.0
1972-06-30,273250.0
1972-07-31,297600.0
1972-08-31,253500.0
1972-09-30,256200.0
1972-10-31,251000.0
1972-11-30,250750.0
1972-12-31,242400.0
1973-01-31,228500.0
1973-02-28,222000.0
1973-03-31,227200.0
1973-04-30,239000.0
1973-05-31,240250.0
1973-06-30,238800.0
1973-07-31,242750.0
1973-08-31,258250.0
1973-09-30,246800.0
1973-10-31,241500.0
1973-11-30,253750.0
1973-12-31,284000.0
1974-01-31,305250.0
1974-02-28,318500.0
1974-03-31,311600.0
1974-04-30,293000.0
1974-05-31,297500.0
1974-06-30,305600.0
1974-07-31,309500.0
1974-08-31,341400.0
1974-09-30,360750.0
1974-10-31,396750.0
1974-11-30,457600.0
1974-12-31,524000.0
1975-01-31,535000.0
1975-02-28,544500.0
1975-03-31,546600.0
1975-04-30,525250.0
1975-05-31,498800.0
1975-06-30,495500.0
1975-07-31,442000.0
1975-08-31,452000.0
1975-09-30,445250.0
1975-10-31,421250.0
1975-11-30,400600.0
1975-12-31,374250.0
1976-01-31,371200.0
1976-02-29,348250.0
1976-03-31,360500.0
1976-04-30,370250.0
1976-05-31,391600.0
1976-06-30,393750.0
1976-07-31,390800.0
1976-08-31,388500.0
1976-09-30,407500.0
1976-10-31,409000.0
1976-11-30,389500.0
1976-12-31,373750.0
1977-01-31,401800.0
1977-02-28,450750.0
1977-03-31,360250.0
1977-04-30,367400.0
1977-05-31,380250.0
1977-06-30,361250.0
1977-07-31,361400.0
1977-08-31,367250.0
1977-09-30,368750.0
1977-10-31,359000.0
1977-11-30,353500.0
1977-12-31,359600.0
1978-01-31,351000.0
1978-02-28,383250.0
1978-03-31,349000.0
1978-04-30,326000.0
1978-05-31,327000.0
1978-06-30,324250.0
1978-07-31,350200.0
1978-08-31,348750.0
1978-09-30,322600.0
1978-10-31,328250.0
1978-11-30,330500.0
1978-12-31,355600.0
1979-01-31,357500.0
1979-02-28,358500.0
1979-03-31,358000.0
1979-04-30,415500.0
1979-05-31,348000.0
1979-06-30,360000.0
1979-07-31,379250.0
1979-08-31,393750.0
1979-09-30,385800.0
1979-10-31,402250.0
1979-11-30,413250.0
1979-12-31,428200.0
1980-01-31,414250.0
1980-02-29,418000.0
1980-03-31,433800.0
1980-04-30,529750.0
1980-05-31,615800.0
1980-06-30,607000.0
1980-07-31,559250.0
1980-08-31,528200.0
1980-09-30,482750.0
1980-10-31,438000.0
1980-11-30,412600.0
1980-12-31,410000.0
1981-01-31,413000.0
1981-02-28,428750.0
1981-03-31,407500.0
1981-04-30,410250.0
1981-05-31,416400.0
1981-06-30,433000.0
1981-07-31,430750.0
1981-08-31,450200.0
1981-09-30,473250.0
1981-10-31,492800.0
1981-11-30,511750.0
1981-12-31,551000.0
1982-01-31,535200.0
1982-02-28,533750.0
1982-03-31,556500.0
1982-04-30,587000.0
1982-05-31,583800.0
1982-06-30,599500.0
1982-07-31,576000.0
1982-08-31,629500.0
1982-09-30,660750.0
1982-10-31,652400.0
1982-11-30,594250.0
1982-12-31,523750.0
1983-01-31,501000.0
1983-02-28,488750.0
1983-03-31,480250.0
1983-04-30,496000.0
1983-05-31,468000.0
1983-06-30,444250.0
1983-07-31,408000.0
1983-08-31,435750.0
1983-09-30,408750.0
1983-10-31,402200.0
1983-11-30,392500.0
1983-12-31,368800.0
1984-01-31,351000.0
1984-02-29,339250.0
1984-03-31,345800.0
1984-04-30,369250.0
1984-05-31,360250.0
1984-06-30,361400.0
1984-07-31,360500.0
1984-08-31,389500.0
1984-09-30,395400.0
1984-10-31,419250.0
1984-11-30,407000.0
1984-12-31,385600.0
1985-01-31,370750.0
1985-02-28,391750.0
1985-03-31,380800.0
1985-04-30,398250.0
1985-05-31,392750.0
1985-06-30,392400.0
1985-07-31,378250.0
1985-08-31,404400.0
1985-09-30,408500.0
1985-10-31,405750.0
1985-11-30,393400.0
1985-12-31,385250.0
1986-01-31,366750.0
1986-02-28,369500.0
1986-03-31,381200.0
1986-04-30,385750.0
1986-05-31,386000.0
1986-06-30,370500.0
1986-07-31,362000.0
1986-08-31,407400.0
1986-09-30,395500.0
1986-10-31,383250.0
1986-11-30,363200.0
1986-12-31,358250.0
1987-01-31,345600.0
1987-02-28,348750.0
1987-03-31,333250.0
1987-04-30,336250.0
1987-05-31,331000.0
1987-06-30,322250.0
1987-07-31,319250.0
1987-08-31,325600.0
1987-09-30,309750.0
1987-10-31,300000.0
1987-11-30,306750.0
1987-12-31,318750.0
1988-01-31,335600.0
1988-02-29,318750.0
1988-03-31,305500.0
1988-04-30,312200.0
1988-05-31,313750.0
1988-06-30,308250.0
1988-07-31,321600.0
1988-08-31,314750.0
1988-09-30,304500.0
1988-10-31,291400.0
1988-11-30,290500.0
1988-12-31,293200.0
1989-01-31,289750.0
1989-02-28,303750.0
1989-03-31,322000.0
1989-04-30,311800.0
1989-05-31,324500.0
1989-06-30,333000.0
1989-07-31,341600.0
1989-08-31,334500.0
1989-09-30,336000.0
1989-10-31,363250.0
1989-11-30,336750.0
1989-12-31,355200.0
1990-01-31,361000.0
1990-02-28,358250.0
1990-03-31,345200.0
1990-04-30,361750.0
1990-05-31,355250.0
1990-06-30,362400.0
1990-07-31,367000.0
1990-08-31,384250.0
1990-09-30,394000.0
1990-10-31,425250.0
1990-11-30,446750.0
1990-12-31,455000.0
1991-01-31,439750.0
1991-02-28,484000.0
1991-03-31,498600.0
1991-04-30,467250.0
1991-05-31,447000.0
1991-06-30,428600.0
1991-07-31,418250.0
1991-08-31,431600.0
1991-09-30,424500.0
1991-10-31,422750.0
1991-11-30,445400.0
1991-12-31,456750.0
1992-01-31,439000.0
1992-02-29,442200.0
1992-03-31,429500.0
1992-04-30,418250.0
1992-05-31,417400.0
1992-06-30,418750.0
1992-07-31,442750.0
1992-08-31,407200.0
1992-09-30,417000.0
1992-10-31,377800.0
1992-11-30,362250.0
1992-12-31,339000.0
1993-01-31,345600.0
1993-02-28,338250.0
1993-03-31,351000.0
1993-04-30,354750.0
1993-05-31,343600.0
1993-06-30,342750.0
1993-07-31,350800.0
1993-08-31,341000.0
1993-09-30,339000.0
1993-10-31,349800.0
1993-11-30,341000.0
1993-12-31,323000.0
1994-01-31,359200.0
1994-02-28,348500.0
1994-03-31,335750.0
1994-04-30,344000.0
1994-05-31,359000.0
1994-06-30,340000.0
1994-07-31,342200.0
1994-08-31,336250.0
1994-09-30,330250.0
1994-10-31,333400.0
1994-11-30,328000.0
1994-12-31,323200.0
1995-01-31,333500.0
1995-02-28,337750.0
1995-03-31,340250.0
1995-04-30,350200.0
1995-05-31,370250.0
1995-06-30,366250.0
1995-07-31,371400.0
1995-08-31,356250.0
1995-09-30,362000.0
1995-10-31,371500.0
1995-11-30,377000.0
1995-12-31,365000.0
1996-01-31,374000.0
1996-02-29,377250.0
1996-03-31,386400.0
1996-04-30,359250.0
1996-05-31,344500.0
1996-06-30,342200.0
1996-07-31,337000.0
1996-08-31,331800.0
1996-09-30,342750.0
1996-10-31,339000.0
1996-11-30,336400.0
1996-12-31,353500.0
1997-01-31,339000.0
1997-02-28,320750.0
1997-03-31,319400.0
1997-04-30,327000.0
1997-05-31,323800.0
1997-06-30,325500.0
1997-07-31,320250.0
1997-08-31,330200.0
1997-09-30,315250.0
1997-10-31,310000.0
1997-11-30,314600.0
1997-12-31,313250.0
1998-01-31,321200.0
1998-02-28,319000.0
1998-03-31,315000.0
1998-04-30,311000.0
1998-05-31,311200.0
1998-06-30,338000.0
1998-07-31,333000.0
1998-08-31,312600.0
1998-09-30,304000.0
1998-10-31,310600.0
1998-11-30,316000.0
1998-12-31,316000.0
1999-01-31,326200.0
1999-02-28,301500.0
1999-03-31,302750.0
1999-04-30,308500.0
1999-05-31,301600.0
1999-06-30,294000.0
1999-07-31,298000.0
1999-08-31,290750.0
1999-09-30,289500.0
1999-10-31,290400.0
1999-11-30,281750.0
1999-12-31,278500.0
2000-01-31,288400.0
2000-02-29,293750.0
2000-03-31,274750.0
2000-04-30,271600.0
2000-05-31,282250.0
2000-06-30,291000.0
2000-07-31,295000.0
2000-08-31,312750.0
2000-09-30,300200.0
2000-10-31,301000.0
2000-11-30,334250.0
2000-12-31,346000.0
2001-01-31,340000.0
2001-02-28,371250.0
2001-03-31,387200.0
2001-04-30,396750.0
2001-05-31,394500.0
2001-06-30,397200.0
2001-07-31,398000.0
2001-08-31,398000.0
2001-09-30,435000.0
2001-10-31,480750.0
2001-11-30,447500.0
2001-12-31,416800.0
2002-01-31,408500.0
2002-02-28,399000.0
2002-03-31,415400.0
2002-04-30,429250.0
2002-05-31,409000.0
2002-06-30,387200.0
2002-07-31,386000.0
2002-08-31,393600.0
2002-09-30,409500.0
2002-10-31,407500.0
2002-11-30,392200.0
2002-12-31,414250.0
2003-01-31,395000.0
2003-02-28,411000.0
2003-03-31,427400.0
2003-04-30,436250.0
2003-05-31,424000.0
2003-06-30,421750.0
2003-07-31,411500.0
2003-08-31,400200.0
2003-09-30,395500.0
2003-10-31,382000.0
2003-11-30,363000.0
2003-12-31,358250.0
2004-01-31,360200.0
2004-02-29,360750.0
2004-03-31,342000.0
2004-04-30,348250.0
2004-05-31,336200.0
2004-06-30,349000.0
2004-07-31,343000.0
2004-08-31,340750.0
2004-09-30,337250.0
2004-10-31,334000.0
2004-11-30,328750.0
2004-12-31,325250.0
2005-01-31,343400.0
2005-02-28,311750.0
2005-03-31,332000.0
2005-04-30,323200.0
2005-05-31,327000.0
2005-06-30,325750.0
2005-07-31,324400.0
2005-08-31,315750.0
2005-09-30,382750.0
2005-10-31,352200.0
2005-11-30,317250.0
2005-12-31,316400.0
2006-01-31,295750.0
2006-02-28,290750.0
2006-03-31,301750.0
2006-04-30,303600.0
2006-05-31,332750.0
2006-06-30,305500.0
2006-07-31,318800.0
2006-08-31,314250.0
2006-09-30,316200.0
2006-10-31,315500.0
2006-11-30,326250.0
2006-12-31,324000.0
2007-01-31,317250.0
2007-02-28,322750.0
2007-03-31,309400.0
2007-04-30,320250.0
2007-05-31,304250.0
2007-06-30,315200.0
2007-07-31,313250.0
2007-08-31,320000.0
2007-09-30,313400.0
2007-10-31,328250.0
2007-11-30,336000.0
2007-12-31,348200.0
2008-01-31,338750.0
2008-02-29,346750.0
2008-03-31,363400.0
2008-04-30,359500.0
2008-05-31,366800.0
2008-06-30,383250.0
2008-07-31,398000.0
2008-08-31,433000.0
2008-09-30,464000.0
2008-10-31,475250.0
2008-11-30,519800.0
2008-12-31,564000.0
2009-01-31,572000.0
2009-02-28,644000.0
2009-03-31,659250.0
2009-04-30,627750.0
2009-05-31,612000.0
2009-06-30,598250.0
2009-07-31,566500.0
2009-08-31,559200.0
2009-09-30,547500.0
2009-10-31,525400.0
2009-11-30,494000.0
2009-12-31,485500.0
2010-01-31,479800.0
2010-02-28,485750.0
2010-03-31,470250.0
2010-04-30,469000.0
2010-05-31,459400.0
2010-06-30,460500.0
2010-07-31,459200.0
2010-08-31,475000.0
2010-09-30,453500.0
2010-10-31,446800.0
2010-11-30,426250.0
2010-12-31,420250.0
2011-01-31,426800.0
2011-02-28,401500.0
2011-03-31,406000.0
2011-04-30,420600.0
2011-05-31,422500.0
2011-06-30,418250.0
2011-07-31,412600.0
2011-08-31,409500.0
2011-09-30,417750.0
2011-10-31,402400.0
2011-11-30,389250.0
2011-12-31,377000.0
2012-01-31,377750.0
2012-02-29,363250.0
2012-03-31,366600.0
2012-04-30,381750.0
2012-05-31,373500.0
2012-06-30,379200.0
2012-07-31,372500.0
2012-08-31,373250.0
2012-09-30,381800.0
2012-10-31,368500.0
2012-11-30,401250.0
2012-12-31,359000.0
2013-01-31,353000.0
2013-02-28,353000.0
2013-03-31,351800.0
2013-04-30,347250.0
2013-05-31,347750.0
2013-06-30,344600.0
2013-07-31,346000.0
2013-08-31,333400.0
2013-09-30,314000.0
2013-10-31,358500.0
2013-11-30,328200.0
2013-12-31,346000.0
2014-01-31,326750.0
2014-02-28,335250.0
2014-03-31,321000.0
2014-04-30,322750.0
2014-05-31,313800.0
2014-06-30,313500.0
2014-07-31,301750.0
2014-08-31,302000.0
2014-09-30,295000.0
2014-10-31,288750.0
2014-11-30,291600.0
2014-12-31,284500.0
2015-01-31,287600.0
2015-02-28,301250.0
2015-03-31,284000.0
2015-04-30,286000.0
2015-05-31,274000.0
2015-06-30,273750.0
2015-07-31,277750.0
2015-08-31,275200.0
2015-09-30,269500.0
2015-10-31,267000.0
2015-11-30,268500.0
2015-12-31,271000.0
2016-01-31,279600.0
2016-02-29,266750.0
2016-03-31,263250.0
2016-04-30,266000.0
2016-05-31,274500.0
2016-06-30,265250.0
2016-07-31,259400.0
2016-08-31,263500.0
2016-09-30,251500.0
2016-10-31,255800.0
2016-11-30,245750.0
2016-12-31,252200.0
2017-01-31,244000.0
2017-02-28,230250.0
2017-03-31,233750.0
2017-04-30,227800.0
2017-05-31,239000.0
2017-06-30,248000.0
2017-07-31,250800.0
2017-08-31,247750.0
2017-09-30,272400.0
2017-10-31,242250.0
2017-11-30,247750.0
2017-12-31,242600.0
2018-01-31,235250.0
2018-02-28,221000.0
2018-03-31,225800.0
2018-04-30,221500.0
2018-05-31,221250.0
2018-06-30,222600.0
2018-07-31,209500.0
2018-08-31,208500.0
2018-09-30,205200.0
2018-10-31,213000.0
2018-11-30,225250.0
2018-12-31,224600.0
2019-01-31,222750.0
2019-02-28,222500.0
2019-03-31,211800.0
2019-04-30,209750.0
2019-05-31,218500.0
2019-06-30,225200.0
2019-07-31,208500.0
2019-08-31,211000.0
2019-09-30,209500.0
2019-10-31,212250.0
2019-11-30,224400.0
2019-12-31,236000.0
2020-01-31,215500.0
2020-02-29,210200.0
2020-03-31,2335250.0
2020-04-30,4663250.0
2020-05-31,2173400.0
2020-06-30,1490250.0
2020-07-31,1383500.0
2020-08-31,922400.0
2020-09-30,851750.0
2020-10-31,795400.0
2020-11-30,751250.0
2020-12-31,836750.0
2021-01-31,827800.0
2021-02-28,755000.0
2021-03-31,669250.0
2021-04-30,589000.0
2021-05-31,469200.0
2021-06-30,409500.0
2021-07-31,370000.0
2021-08-31,359750.0
2021-09-30,354750.0
2021-10-31,284400.0
2021-11-30,236500.0
2021-12-31,216250.0
2022-01-31,239200.0
2022-02-28,219000.0
2022-03-31,215000.0
2022-04-30,213000.0
2022-05-31,209750.0
2022-06-30,212500.0
2022-07-31,218200.0
2022-08-31,216500.0
2022-09-30,197500.0
2022-10-31,202600.0
2022-11-30,210750.0
2022-12-31,208200.0
2023-01-31,204500.0
2023-02-28,214750.0
2023-03-31,229000.0
2023-04-30,216400.0
2023-05-31,226000.0
2023-06-30,250750.0
2023-07-31,235200.0
2023-08-31,245000.0
2023-09-30,218600.0
2023-10-31,210250.0
2023-11-30,218000.0
2023-12-31,207800.0
2024-01-31,211500.0
2024-02-29,210000.0
2024-03-31,215200.0
2024-04-30,210250.0
2024-05-31,222000.0
2024-06-30,234800.0
2024-07-31,237250.0
2024-08-31,230600.0
2024-09-30,224500.0
2024-10-31,236250.0
2024-11-30,219200.0
2024-12-31,222750.0
2025-01-31,215000.0
2025-02-28,225000.0
2025-03-31,223000.0
2025-04-30,225750.0
2025-05-31,231800.0
2025-06-30,239000.0
2025-07-31,221500.0
2025-08-31,229600.0
2025-09-30,234000.0
2025-10-31,226750.0
2025-11-30,222400.0
2025-12-31,219250.0
2026-01-31,211800.0
2026-02-28,215750.0
2026-03-31,208000.0
2026-04-30,207750.0
2026-05-31,211600.0
2026-06-30,229000.0
