,nfci_monthly
1971-01-31,0.706
1971-02-28,0.876
1971-03-31,1.077
1971-04-30,1.418
1971-05-31,1.393
1971-06-30,1.028
1971-07-31,1.253
1971-08-31,2.027
1971-09-30,2.188
1971-10-31,1.575
1971-11-30,1.359
1971-12-31,1.307
1972-01-31,0.984
1972-02-29,0.606
1972-03-31,0.333
1972-04-30,0.147
1972-05-31,0.03
1972-06-30,0.211
1972-07-31,0.331
1972-08-31,0.155
1972-09-30,-0.113
1972-10-31,-0.181
1972-11-30,-0.255
1972-12-31,-0.21
1973-01-31,0.245
1973-02-28,0.911
1973-03-31,1.276
1973-04-30,1.204
1973-05-31,1.122
1973-06-30,1.285
1973-07-31,1.731
1973-08-31,2.306
1973-09-30,2.411
1973-10-31,2.23
1973-11-30,2.089
1973-12-31,1.763
1974-01-31,1.031
1974-02-28,0.48
1974-03-31,0.814
1974-04-30,1.898
1974-05-31,3.69
1974-06-30,4.863
1974-07-31,5.201
1974-08-31,4.638
1974-09-30,3.998
1974-10-31,3.291
1974-11-30,2.738
1974-12-31,2.45
1975-01-31,1.738
1975-02-28,1.134
1975-03-31,0.682
1975-04-30,0.296
1975-05-31,-0.075
1975-06-30,-0.171
1975-07-31,-0.157
1975-08-31,-0.071
1975-09-30,0.06
1975-10-31,0.153
1975-11-30,0.063
1975-12-31,-0.186
1976-01-31,-0.534
1976-02-29,-0.695
1976-03-31,-0.744
1976-04-30,-0.628
1976-05-31,-0.485
1976-06-30,-0.478
1976-07-31,-0.624
1976-08-31,-0.708
1976-09-30,-0.725
1976-10-31,-0.688
1976-11-30,-0.666
1976-12-31,-0.762
1977-01-31,-0.901
1977-02-28,-0.946
1977-03-31,-0.853
1977-04-30,-0.652
1977-05-31,-0.522
1977-06-30,-0.489
1977-07-31,-0.512
1977-08-31,-0.485
1977-09-30,-0.375
1977-10-31,-0.268
1977-11-30,-0.214
1977-12-31,-0.258
1978-01-31,-0.295
1978-02-28,-0.216
1978-03-31,0.042
1978-04-30,0.294
1978-05-31,0.526
1978-06-30,0.653
1978-07-31,0.568
1978-08-31,0.481
1978-09-30,0.888
1978-10-31,1.598
1978-11-30,2.024
1978-12-31,1.724
1979-01-31,1.132
1979-02-28,0.605
1979-03-31,0.266
1979-04-30,0.266
1979-05-31,0.455
1979-06-30,0.839
1979-07-31,1.169
1979-08-31,1.698
1979-09-30,2.191
1979-10-31,2.504
1979-11-30,2.304
1979-12-31,1.887
1980-01-31,1.785
1980-02-29,2.688
1980-03-31,3.746
1980-04-30,3.932
1980-05-31,2.71
1980-06-30,1.511
1980-07-31,0.83
1980-08-31,0.88
1980-09-30,1.223
1980-10-31,1.991
1980-11-30,2.878
1980-12-31,3.322
1981-01-31,2.703
1981-02-28,1.971
1981-03-31,1.667
1981-04-30,1.928
1981-05-31,2.707
1981-06-30,3.316
1981-07-31,3.52
1981-08-31,3.266
1981-09-30,2.988
1981-10-31,2.71
1981-11-30,2.39
1981-12-31,2.077
1982-01-31,1.909
1982-02-28,2.008
1982-03-31,2.111
1982-04-30,2.268
1982-05-31,2.596
1982-06-30,2.92
1982-07-31,3.053
1982-08-31,3.349
1982-09-30,3.383
1982-10-31,2.159
1982-11-30,1.136
1982-12-31,0.533
1983-01-31,0.241
1983-02-28,0.068
1983-03-31,0.011
1983-04-30,-0.096
1983-05-31,-0.191
1983-06-30,-0.175
1983-07-31,-0.089
1983-08-31,-0.085
1983-09-30,-0.084
1983-10-31,0.007
1983-11-30,0.097
1983-12-31,0.058
1984-01-31,-0.097
1984-02-29,-0.196
1984-03-31,-0.033
1984-04-30,0.378
1984-05-31,0.885
1984-06-30,1.211
1984-07-31,1.01
1984-08-31,0.573
1984-09-30,0.322
1984-10-31,0.105
1984-11-30,-0.119
1984-12-31,-0.282
1985-01-31,-0.39
1985-02-28,-0.351
1985-03-31,-0.273
1985-04-30,-0.338
1985-05-31,-0.463
1985-06-30,-0.443
1985-07-31,-0.32
1985-08-31,-0.15
1985-09-30,-0.147
1985-10-31,-0.274
1985-11-30,-0.334
1985-12-31,-0.271
1986-01-31,-0.264
1986-02-28,-0.305
1986-03-31,-0.341
1986-04-30,-0.427
1986-05-31,-0.481
1986-06-30,-0.45
1986-07-31,-0.498
1986-08-31,-0.593
1986-09-30,-0.558
1986-10-31,-0.546
1986-11-30,-0.554
1986-12-31,-0.514
1987-01-31,-0.491
1987-02-28,-0.439
1987-03-31,-0.177
1987-04-30,0.305
1987-05-31,0.618
1987-06-30,0.421
1987-07-31,0.048
1987-08-31,0.037
1987-09-30,0.489
1987-10-31,1.099
1987-11-30,1.107
1987-12-31,0.831
1988-01-31,0.362
1988-02-29,0.134
1988-03-31,0.132
1988-04-30,0.247
1988-05-31,0.255
1988-06-30,0.302
1988-07-31,0.428
1988-08-31,0.397
1988-09-30,0.253
1988-10-31,0.186
1988-11-30,0.155
1988-12-31,0.141
1989-01-31,0.188
1989-02-28,0.408
1989-03-31,0.715
1989-04-30,0.619
1989-05-31,0.363
1989-06-30,0.255
1989-07-31,0.207
1989-08-31,0.237
1989-09-30,0.379
1989-10-31,0.301
1989-11-30,0.102
1989-12-31,0.025
1990-01-31,0.063
1990-02-28,0.051
1990-03-31,0.077
1990-04-30,0.11
1990-05-31,-0.007
1990-06-30,-0.155
1990-07-31,-0.073
1990-08-31,0.184
1990-09-30,0.379
1990-10-31,0.455
1990-11-30,0.47
1990-12-31,0.519
1991-01-31,0.392
1991-02-28,0.102
1991-03-31,-0.149
1991-04-30,-0.235
1991-05-31,-0.237
1991-06-30,-0.27
1991-07-31,-0.415
1991-08-31,-0.541
1991-09-30,-0.561
1991-10-31,-0.581
1991-11-30,-0.628
1991-12-31,-0.663
1992-01-31,-0.657
1992-02-29,-0.655
1992-03-31,-0.683
1992-04-30,-0.761
1992-05-31,-0.859
1992-06-30,-0.914
1992-07-31,-0.936
1992-08-31,-0.898
1992-09-30,-0.804
1992-10-31,-0.683
1992-11-30,-0.735
1992-12-31,-0.881
1993-01-31,-0.957
1993-02-28,-0.956
1993-03-31,-0.975
1993-04-30,-0.994
1993-05-31,-0.982
1993-06-30,-1.02
1993-07-31,-1.091
1993-08-31,-1.09
1993-09-30,-1.051
1993-10-31,-0.966
1993-11-30,-0.937
1993-12-31,-1.004
1994-01-31,-1.012
1994-02-28,-0.919
1994-03-31,-0.791
1994-04-30,-0.722
1994-05-31,-0.722
1994-06-30,-0.717
1994-07-31,-0.77
1994-08-31,-0.806
1994-09-30,-0.694
1994-10-31,-0.6
1994-11-30,-0.503
1994-12-31,-0.405
1995-01-31,-0.505
1995-02-28,-0.621
1995-03-31,-0.639
