,payems_monthly
1939-01-31,29923.0
1939-02-28,30100.0
1939-03-31,30280.0
1939-04-30,30094.0
1939-05-31,30299.0
1939-06-30,30502.0
1939-07-31,30419.0
1939-08-31,30663.0
1939-09-30,31031.0
1939-10-31,31411.0
1939-11-30,31470.0
1939-12-31,31542.0
1940-01-31,31603.0
1940-02-29,31715.0
1940-03-31,31825.0
1940-04-30,31701.0
1940-05-31,31879.0
1940-06-30,31977.0
1940-07-31,31942.0
1940-08-31,32352.0
1940-09-30,32810.0
1940-10-31,33267.0
1940-11-30,33669.0
1940-12-31,34174.0
1941-01-31,34481.0
1941-02-28,34843.0
1941-03-31,35092.0
1941-04-30,35468.0
1941-05-31,36182.0
1941-06-30,36650.0
1941-07-31,37137.0
1941-08-31,37544.0
1941-09-30,37835.0
1941-10-31,37949.0
1941-11-30,38024.0
1941-12-31,38104.0
1942-01-31,38347.0
1942-02-28,38512.0
1942-03-31,38935.0
1942-04-30,39352.0
1942-05-31,39771.0
1942-06-30,40029.0
1942-07-31,40472.0
1942-08-31,40988.0
1942-09-30,41259.0
1942-10-31,41515.0
1942-11-30,41674.0
1942-12-31,41915.0
1943-01-31,42172.0
1943-02-28,42393.0
1943-03-31,42552.0
1943-04-30,42647.0
1943-05-31,42596.0
1943-06-30,42781.0
1943-07-31,42700.0
1943-08-31,42546.0
1943-09-30,42492.0
1943-10-31,42675.0
1943-11-30,42821.0
1943-12-31,42746.0
1944-01-31,42654.0
1944-02-29,42538.0
1944-03-31,42294.0
1944-04-30,42063.0
1944-05-31,41985.0
1944-06-30,41947.0
1944-07-31,41904.0
1944-08-31,41850.0
1944-09-30,41679.0
1944-10-31,41708.0
1944-11-30,41711.0
1944-12-31,41860.0
1945-01-31,41895.0
1945-02-28,41897.0
1945-03-31,41798.0
1945-04-30,41446.0
1945-05-31,41304.0
1945-06-30,41149.0
1945-07-31,40874.0
1945-08-31,40466.0
1945-09-30,38507.0
1945-10-31,38600.0
1945-11-30,38996.0
1945-12-31,39110.0
1946-01-31,39829.0
1946-02-28,39244.0
1946-03-31,40195.0
1946-04-30,40913.0
1946-05-31,41349.0
1946-06-30,41735.0
1946-07-31,42153.0
1946-08-31,42642.0
1946-09-30,42915.0
1946-10-31,43093.0
1946-11-30,43395.0
1946-12-31,43379.0
1947-01-31,43535.0
1947-02-28,43557.0
1947-03-31,43607.0
1947-04-30,43499.0
1947-05-31,43638.0
1947-06-30,43810.0
1947-07-31,43743.0
1947-08-31,43960.0
1947-09-30,44203.0
1947-10-31,44411.0
1947-11-30,44484.0
1947-12-31,44581.0
1948-01-31,44679.0
1948-02-29,44533.0
1948-03-31,44683.0
1948-04-30,44379.0
1948-05-31,44796.0
1948-06-30,45034.0
1948-07-31,45160.0
1948-08-31,45178.0
1948-09-30,45294.0
1948-10-31,45245.0
1948-11-30,45192.0
1948-12-31,45032.0
1949-01-31,44668.0
1949-02-28,44497.0
1949-03-31,44240.0
1949-04-30,44236.0
1949-05-31,43984.0
1949-06-30,43739.0
1949-07-31,43531.0
1949-08-31,43624.0
1949-09-30,43780.0
1949-10-31,42942.0
1949-11-30,43242.0
1949-12-31,43522.0
1950-01-31,43526.0
1950-02-28,43297.0
1950-03-31,43954.0
1950-04-30,44382.0
1950-05-31,44718.0
1950-06-30,45083.0
1950-07-31,45454.0
1950-08-31,46192.0
1950-09-30,46438.0
1950-10-31,46706.0
1950-11-30,46776.0
1950-12-31,46861.0
1951-01-31,47288.0
1951-02-28,47577.0
1951-03-31,47873.0
1951-04-30,47861.0
1951-05-31,47952.0
1951-06-30,48064.0
1951-07-31,48061.0
1951-08-31,48012.0
1951-09-30,47954.0
1951-10-31,48006.0
1951-11-30,48147.0
1951-12-31,48314.0
1952-01-31,48296.0
1952-02-29,48522.0
1952-03-31,48504.0
1952-04-30,48620.0
1952-05-31,48642.0
1952-06-30,48282.0
1952-07-31,48143.0
1952-08-31,48924.0
1952-09-30,49320.0
1952-10-31,49597.0
1952-11-30,49816.0
1952-12-31,50166.0
1953-01-31,50144.0
1953-02-28,50339.0
1953-03-31,50473.0
1953-04-30,50435.0
1953-05-31,50490.0
1953-06-30,50519.0
1953-07-31,50536.0
1953-08-31,50489.0
1953-09-30,50368.0
1953-10-31,50240.0
1953-11-30,49908.0
1953-12-31,49703.0
1954-01-31,49469.0
1954-02-28,49382.0
1954-03-31,49157.0
1954-04-30,49179.0
1954-05-31,48965.0
1954-06-30,48895.0
1954-07-31,48835.0
1954-08-31,48826.0
1954-09-30,48886.0
1954-10-31,48942.0
1954-11-30,49180.0
