,tcu_monthly
1967-01-31,89.3902
1967-02-28,87.975
1967-03-31,87.0835
1967-04-30,87.5089
1967-05-31,86.3566
1967-06-30,85.9603
1967-07-31,85.3833
1967-08-31,86.6339
1967-09-30,86.1122
1967-10-31,86.4325
1967-11-30,87.2856
1967-12-31,87.8417
1968-01-31,87.3856
1968-02-29,87.352
1968-03-31,87.2794
1968-04-30,87.0627
1968-05-31,87.6951
1968-06-30,87.6744
1968-07-31,87.2002
1968-08-31,87.1055
1968-09-30,87.0988
1968-10-31,86.9369
1968-11-30,87.7249
1968-12-31,87.6668
1969-01-31,87.8712
1969-02-28,88.1166
1969-03-31,88.4902
1969-04-30,87.8507
1969-05-31,87.2081
1969-06-30,87.7487
1969-07-31,87.9011
1969-08-31,87.7936
1969-09-30,87.4667
1969-10-31,87.1872
1969-11-30,86.0651
1969-12-31,85.5368
1970-01-31,83.6765
1970-02-28,83.3607
1970-03-31,82.9935
1970-04-30,82.5235
1970-05-31,82.1724
1970-06-30,81.6542
1970-07-31,81.6031
1970-08-31,81.208
1970-09-30,80.4019
1970-10-31,78.5535
1970-11-30,77.8407
1970-12-31,79.3872
1971-01-31,79.7753
1971-02-28,79.4216
1971-03-31,79.1348
1971-04-30,79.3783
1971-05-31,79.5802
1971-06-30,79.7132
1971-07-31,79.2827
1971-08-31,78.6255
1971-09-30,79.7041
1971-10-31,80.1009
1971-11-30,80.2412
1971-12-31,80.9666
1972-01-31,82.6938
1972-02-29,83.3296
1972-03-31,83.7028
1972-04-30,84.3315
1972-05-31,84.1324
1972-06-30,84.14
1972-07-31,83.8269
1972-08-31,84.7662
1972-09-30,85.2041
1972-10-31,86.0358
1972-11-30,86.7902
1972-12-31,87.4839
1973-01-31,87.8373
1973-02-28,88.8026
1973-03-31,88.5495
1973-04-30,88.12
1973-05-31,88.4157
1973-06-30,88.2262
1973-07-31,88.2329
1973-08-31,87.8096
1973-09-30,88.2111
1973-10-31,88.6604
1973-11-30,88.7722
1973-12-31,88.2372
1974-01-31,87.3838
1974-02-28,86.8467
1974-03-31,86.6003
1974-04-30,86.1121
1974-05-31,86.5677
1974-06-30,86.199
1974-07-31,86.1814
1974-08-31,85.0763
1974-09-30,84.8954
1974-10-31,84.4923
1974-11-30,81.5562
1974-12-31,78.472
1975-01-31,77.2469
1975-02-28,75.3499
1975-03-31,74.3882
1975-04-30,74.4459
1975-05-31,74.0862
1975-06-30,74.4361
1975-07-31,75.0977
1975-08-31,75.713
1975-09-30,76.5611
1975-10-31,76.763
1975-11-30,76.726
1975-12-31,77.6271
1976-01-31,78.498
1976-02-29,79.1054
1976-03-31,79.1091
1976-04-30,79.3299
1976-05-31,79.4908
1976-06-30,79.3919
1976-07-31,79.6612
1976-08-31,80.0235
1976-09-30,80.1127
1976-10-31,79.8993
1976-11-30,80.9231
1976-12-31,81.6007
1977-01-31,80.8351
1977-02-28,81.9059
1977-03-31,82.7413
1977-04-30,83.3222
1977-05-31,83.7597
1977-06-30,84.1859
1977-07-31,84.0665
1977-08-31,83.9208
1977-09-30,84.0352
1977-10-31,83.9207
1977-11-30,83.8404
1977-12-31,83.7565
1978-01-31,82.2955
1978-02-28,82.5071
1978-03-31,83.8568
1978-04-30,85.3237
1978-05-31,85.4885
1978-06-30,85.8087
1978-07-31,85.506
1978-08-31,85.6255
1978-09-30,85.6112
1978-10-31,86.0203
1978-11-30,86.4507
1978-12-31,86.6488
1979-01-31,85.95
1979-02-28,86.1333
1979-03-31,86.1874
1979-04-30,84.9317
1979-05-31,85.4833
1979-06-30,85.2867
1979-07-31,84.9377
1979-08-31,84.182
1979-09-30,83.9792
1979-10-31,84.4068
1979-11-30,84.1017
1979-12-31,83.991
1980-01-31,84.2841
1980-02-29,84.1494
1980-03-31,83.6537
1980-04-30,81.8445
1980-05-31,79.6867
1980-06-30,78.5118
1980-07-31,77.8129
1980-08-31,77.9059
1980-09-30,79.0322
1980-10-31,79.8693
1980-11-30,81.0289
1980-12-31,81.3842
1981-01-31,80.6748
1981-02-28,80.1373
1981-03-31,80.3463
1981-04-30,79.7937
1981-05-31,80.0484
1981-06-30,80.2511
1981-07-31,80.5724
1981-08-31,80.271
1981-09-30,79.688
1981-10-31,78.8694
1981-11-30,77.7706
1981-12-31,76.7706
1982-01-31,75.0243
1982-02-28,76.3932
1982-03-31,75.7372
1982-04-30,74.9018
1982-05-31,74.2775
1982-06-30,73.9684
1982-07-31,73.6215
1982-08-31,72.8586
1982-09-30,72.5997
1982-10-31,71.8294
1982-11-30,71.5396
1982-12-31,70.9871
1983-01-31,72.2714
1983-02-28,71.7863
1983-03-31,72.366
1983-04-30,73.2597
1983-05-31,73.6804
1983-06-30,74.1097
1983-07-31,75.188
1983-08-31,76.0452
1983-09-30,77.1102
1983-10-31,77.6485
1983-11-30,77.9317
1983-12-31,78.248
1984-01-31,79.7207
1984-02-29,79.9686
1984-03-31,80.2444
1984-04-30,80.5902
1984-05-31,80.8857
1984-06-30,81.0276
1984-07-31,81.0869
1984-08-31,80.9969
1984-09-30,80.5761
1984-10-31,80.3793
1984-11-30,80.4551
1984-12-31,80.2819
1985-01-31,80.0654
1985-02-28,80.0794
1985-03-31,79.9936
1985-04-30,79.6154
1985-05-31,79.53
1985-06-30,79.295
1985-07-31,78.7325
1985-08-31,78.7932
1985-09-30,78.8917
1985-10-31,78.4909
1985-11-30,78.624
1985-12-31,79.2506
1986-01-31,79.5708
1986-02-28,78.9079
1986-03-31,78.2531
1986-04-30,78.2809
1986-05-31,78.3175
1986-06-30,77.9257
1986-07-31,78.3589
1986-08-31,78.1348
1986-09-30,78.2497
1986-10-31,78.4896
1986-11-30,78.7
1986-12-31,79.3312
1987-01-31,78.9302
1987-02-28,79.832
1987-03-31,79.799
1987-04-30,80.1481
1987-05-31,80.4929
1987-06-30,80.7451
1987-07-31,81.1334
1987-08-31,81.5864
1987-09-30,81.762
1987-10-31,82.7171
1987-11-30,83.0015
1987-12-31,83.3639
1988-01-31,83.2612
1988-02-29,83.6092
1988-03-31,83.7608
1988-04-30,84.2045
1988-05-31,84.0006
1988-06-30,84.2142
1988-07-31,84.1973
1988-08-31,84.5859
1988-09-30,84.2804
1988-10-31,84.5914
1988-11-30,84.7301
1988-12-31,85.0338
1989-01-31,85.1891
1989-02-28,84.7014
1989-03-31,84.786
1989-04-30,84.6312
1989-05-31,83.9944
1989-06-30,83.819
1989-07-31,82.8332
1989-08-31,83.4581
1989-09-30,83.0045
1989-10-31,82.6969
1989-11-30,82.7778
1989-12-31,83.0331
1990-01-31,82.4179
1990-02-28,82.9732
1990-03-31,83.1981
1990-04-30,82.8001
1990-05-31,82.8798
1990-06-30,82.9978
1990-07-31,82.7018
1990-08-31,82.8509
1990-09-30,82.7293
1990-10-31,82.1303
1990-11-30,80.9828
1990-12-31,80.2964
1991-01-31,79.9522
1991-02-28,79.2872
1991-03-31,78.7629
1991-04-30,78.9062
1991-05-31,79.5846
1991-06-30,80.1624
1991-07-31,80.3158
1991-08-31,80.2365
1991-09-30,80.7851
1991-10-31,80.6424
1991-11-30,80.4053
1991-12-31,79.8949
1992-01-31,79.3278
1992-02-29,79.7329
1992-03-31,80.2464
1992-04-30,80.6802
1992-05-31,80.764
1992-06-30,80.6204
1992-07-31,81.1771
1992-08-31,80.5433
1992-09-30,80.6355
1992-10-31,81.0138
1992-11-30,81.1636
1992-12-31,81.1549
1993-01-31,81.3264
1993-02-28,81.5884
1993-03-31,81.3955
1993-04-30,81.5045
1993-05-31,81.0851
1993-06-30,81.1568
1993-07-31,81.262
1993-08-31,81.0442
1993-09-30,81.3448
1993-10-31,81.7992
1993-11-30,82.0178
1993-12-31,82.3349
1994-01-31,82.3903
1994-02-28,82.2437
1994-03-31,82.871
1994-04-30,83.1358
1994-05-31,83.2793
1994-06-30,83.5893
1994-07-31,83.4406
1994-08-31,83.7334
1994-09-30,83.7254
1994-10-31,84.1216
1994-11-30,84.414
1994-12-31,84.9892
1995-01-31,84.8472
1995-02-28,84.4634
1995-03-31,84.3123
1995-04-30,83.8748
1995-05-31,83.9876
1995-06-30,83.9584
1995-07-31,83.2944
1995-08-31,84.0724
1995-09-30,84.0747
1995-10-31,83.58
1995-11-30,83.4429
1995-12-31,83.3654
1996-01-31,82.5158
1996-02-29,83.3451
1996-03-31,82.8594
1996-04-30,83.2941
1996-05-31,83.5236
1996-06-30,83.7665
1996-07-31,83.3918
1996-08-31,83.4315
1996-09-30,83.564
1996-10-31,83.1973
1996-11-30,83.5622
1996-12-31,83.6933
1997-01-31,83.4262
1997-02-28,84.0084
1997-03-31,84.12
1997-04-30,83.7916
1997-05-31,83.8144
1997-06-30,83.7402
1997-07-31,83.978
1997-08-31,84.3178
1997-09-30,84.5693
1997-10-31,84.7793
1997-11-30,84.8918
1997-12-31,84.692
1998-01-31,84.4984
1998-02-28,84.074
1998-03-31,83.5488
1998-04-30,83.2923
1998-05-31,83.3136
1998-06-30,82.3151
1998-07-31,81.5396
1998-08-31,82.7869
1998-09-30,82.3253
1998-10-31,82.4879
1998-11-30,82.0403
1998-12-31,82.0415
1999-01-31,82.0391
1999-02-28,82.1916
1999-03-31,82.0452
1999-04-30,81.9153
1999-05-31,82.124
1999-06-30,81.7593
1999-07-31,81.9405
1999-08-31,81.9786
1999-09-30,81.3642
1999-10-31,82.0771
1999-11-30,82.198
1999-12-31,82.5592
2000-01-31,82.179
2000-02-29,82.1719
2000-03-31,82.2023
2000-04-30,82.4316
2000-05-31,82.3967
2000-06-30,82.1729
2000-07-31,81.7603
2000-08-31,81.2857
2000-09-30,81.4061
2000-10-31,80.8334
2000-11-30,80.5963
2000-12-31,80.0735
2001-01-31,79.4332
2001-02-28,78.6604
2001-03-31,78.2472
2001-04-30,77.7206
2001-05-31,77.1128
2001-06-30,76.4807
2001-07-31,75.7806
2001-08-31,75.4938
2001-09-30,74.9237
2001-10-31,74.5431
2001-11-30,73.9318
2001-12-31,73.7552
2002-01-31,74.1161
2002-02-28,74.0132
2002-03-31,74.4558
2002-04-30,74.7452
2002-05-31,74.9894
2002-06-30,75.569
2002-07-31,75.5228
2002-08-31,75.4317
2002-09-30,75.4995
2002-10-31,75.3553
2002-11-30,75.8001
2002-12-31,75.4073
2003-01-31,76.0829
2003-02-28,76.2008
2003-03-31,76.0272
2003-04-30,75.6028
2003-05-31,75.6099
2003-06-30,75.7311
2003-07-31,76.1369
2003-08-31,75.9832
2003-09-30,76.483
2003-10-31,76.5884
2003-11-30,77.1135
2003-12-31,77.1489
2004-01-31,77.2806
2004-02-29,77.7639
2004-03-31,77.4721
2004-04-30,77.7807
2004-05-31,78.3623
2004-06-30,77.7669
2004-07-31,78.3594
2004-08-31,78.4167
2004-09-30,78.5109
2004-10-31,79.1635
2004-11-30,79.3296
2004-12-31,79.9179
2005-01-31,80.1494
2005-02-28,80.6584
2005-03-31,80.4638
2005-04-30,80.5421
2005-05-31,80.5094
2005-06-30,80.7567
2005-07-31,80.3802
2005-08-31,80.5172
2005-09-30,78.8319
2005-10-31,79.6607
2005-11-30,80.426
2005-12-31,80.7109
2006-01-31,80.7078
2006-02-28,80.6111
2006-03-31,80.6609
2006-04-30,80.7713
2006-05-31,80.6521
2006-06-30,80.7601
2006-07-31,80.5643
2006-08-31,80.754
2006-09-30,80.4492
2006-10-31,80.1804
2006-11-30,79.9663
2006-12-31,80.5985
2007-01-31,80.1452
2007-02-28,80.7218
2007-03-31,80.6932
2007-04-30,81.0737
2007-05-31,81.0044
2007-06-30,80.9238
2007-07-31,80.7255
2007-08-31,80.8082
2007-09-30,80.9387
2007-10-31,80.6837
2007-11-30,81.1065
2007-12-31,81.1425
2008-01-31,81.0549
2008-02-29,80.7602
2008-03-31,80.5381
2008-04-30,80.0376
2008-05-31,79.5579
2008-06-30,79.3571
2008-07-31,79.0325
2008-08-31,77.7251
2008-09-30,74.2216
2008-10-31,74.8669
2008-11-30,73.782
2008-12-31,71.607
2009-01-31,69.7304
2009-02-28,69.2326
2009-03-31,68.0889
2009-04-30,67.4762
2009-05-31,66.7676
2009-06-30,66.5138
2009-07-31,67.29
2009-08-31,68.0795
2009-09-30,68.7549
2009-10-31,69.0357
2009-11-30,69.447
2009-12-31,69.8541
2010-01-31,70.7532
2010-02-28,71.1612
2010-03-31,71.7964
2010-04-30,72.1905
2010-05-31,73.3146
2010-06-30,73.5918
2010-07-31,74.0009
2010-08-31,74.3883
2010-09-30,74.7076
2010-10-31,74.58
2010-11-30,74.7131
2010-12-31,75.4968
2011-01-31,75.3741
2011-02-28,75.0928
2011-03-31,75.8747
2011-04-30,75.6127
2011-05-31,75.6684
2011-06-30,75.8425
2011-07-31,76.1431
2011-08-31,76.5667
2011-09-30,76.3992
2011-10-31,76.8123
2011-11-30,76.6783
2011-12-31,76.9495
2012-01-31,77.2652
2012-02-29,77.3673
2012-03-31,76.8194
2012-04-30,77.2234
2012-05-31,77.2546
2012-06-30,77.1149
2012-07-31,77.1372
2012-08-31,76.672
2012-09-30,76.4846
2012-10-31,76.6227
2012-11-30,76.78
2012-12-31,76.8435
2013-01-31,76.7502
2013-02-28,77.0029
2013-03-31,77.2135
2013-04-30,77.0553
2013-05-31,77.0307
2013-06-30,77.1119
2013-07-31,76.8008
2013-08-31,77.1772
2013-09-30,77.5046
2013-10-31,77.3802
2013-11-30,77.4988
2013-12-31,77.5927
2014-01-31,77.254
2014-02-28,77.7747
2014-03-31,78.4628
2014-04-30,78.4705
2014-05-31,78.6999
2014-06-30,78.8952
2014-07-31,78.9933
2014-08-31,78.7669
2014-09-30,78.9218
2014-10-31,78.8663
2014-11-30,79.2962
2014-12-31,79.2419
2015-01-31,78.5803
2015-02-28,78.055
2015-03-31,77.7804
2015-04-30,77.3487
2015-05-31,77.0092
2015-06-30,76.7774
2015-07-31,77.2924
2015-08-31,77.1715
2015-09-30,76.9791
2015-10-31,76.6282
2015-11-30,76.0819
2015-12-31,75.7214
2016-01-31,76.1248
2016-02-29,75.7291
2016-03-31,75.1587
2016-04-30,75.3969
2016-05-31,75.2034
2016-06-30,75.5298
2016-07-31,75.5839
2016-08-31,75.432
2016-09-30,75.3145
2016-10-31,75.2918
2016-11-30,74.9498
2016-12-31,75.4424
2017-01-31,75.2339
2017-02-28,74.9346
2017-03-31,75.4439
2017-04-30,76.2392
2017-05-31,76.368
2017-06-30,76.5758
2017-07-31,76.4534
2017-08-31,76.2067
2017-09-30,76.3591
2017-10-31,77.3753
2017-11-30,77.6337
2017-12-31,77.8538
2018-01-31,77.9138
